Well_orderAsTracked,Treatment,Empty,Male,Plate
1,Full Yeast,F,T,1
2,Full Yeast,F,T,1
3,Half Yeast,F,T,1
4,Half Yeast,F,T,1
5,No Yeast,F,T,1
6,No Yeast,F,T,1
7,Full Yeast,F,T,1
8,Full Yeast,F,T,1
9,Half Yeast,F,T,1
10,Half Yeast,F,T,1
11,No Yeast,F,T,1
12,No Yeast,F,T,1
13,Full Yeast,F,F,1
14,Full Yeast,F,F,1
15,Half Yeast,F,F,1
16,Half Yeast,F,F,1
17,No Yeast,F,F,1
18,No Yeast,F,F,1
19,Full Yeast,F,F,1
20,Full Yeast,F,F,1
21,Half Yeast,F,F,1
22,Half Yeast,F,F,1
23,No Yeast,F,F,1
24,No Yeast,F,F,1
25,Full Yeast,F,T,2
26,Full Yeast,F,T,2
27,Half Yeast,F,T,2
28,Half Yeast,F,T,2
29,No Yeast,F,T,2
30,No Yeast,F,T,2
31,Full Yeast,F,T,2
32,Full Yeast,F,T,2
33,Half Yeast,F,T,2
34,Half Yeast,F,T,2
35,No Yeast,F,T,2
36,No Yeast,F,T,2
37,Full Yeast,F,F,2
38,Full Yeast,F,F,2
39,Half Yeast,F,F,2
40,Half Yeast,F,F,2
41,No Yeast,F,F,2
42,No Yeast,F,F,2
43,Full Yeast,F,F,2
44,Full Yeast,F,F,2
45,Half Yeast,F,F,2
46,Half Yeast,F,F,2
47,No Yeast,F,F,2
48,No Yeast,F,F,2
49,Full Yeast,F,T,3
50,Full Yeast,F,T,3
51,Half Yeast,F,T,3
52,Half Yeast,F,T,3
53,No Yeast,F,T,3
54,No Yeast,F,T,3
55,Full Yeast,F,T,3
56,Full Yeast,F,T,3
57,Half Yeast,F,T,3
58,Half Yeast,F,T,3
59,No Yeast,F,T,3
60,No Yeast,F,T,3
61,Full Yeast,F,F,3
62,Full Yeast,F,F,3
63,Half Yeast,F,F,3
64,Half Yeast,F,F,3
65,No Yeast,F,F,3
66,No Yeast,F,F,3
67,Full Yeast,F,F,3
68,Full Yeast,F,F,3
69,Half Yeast,F,F,3
70,Half Yeast,F,F,3
71,No Yeast,F,F,3
72,No Yeast,F,F,3
73,Full Yeast,F,T,4
74,Full Yeast,F,T,4
75,Half Yeast,F,T,4
76,Half Yeast,F,T,4
77,No Yeast,F,T,4
78,No Yeast,F,T,4
79,Full Yeast,F,T,4
80,Full Yeast,F,T,4
81,Half Yeast,F,T,4
82,Half Yeast,F,T,4
83,No Yeast,F,T,4
84,No Yeast,F,T,4
85,Full Yeast,F,F,4
86,Full Yeast,F,F,4
87,Half Yeast,F,F,4
88,Half Yeast,F,F,4
89,No Yeast,F,F,4
90,No Yeast,F,F,4
91,Full Yeast,F,F,4
92,Full Yeast,F,F,4
93,Half Yeast,F,F,4
94,Half Yeast,F,F,4
95,No Yeast,F,F,4
96,No Yeast,F,F,4
97,Full Yeast,F,T,5
98,Full Yeast,F,T,5
99,Half Yeast,F,T,5
100,Half Yeast,F,T,5
101,No Yeast,F,T,5
102,No Yeast,F,T,5
103,Full Yeast,F,T,5
104,Full Yeast,F,T,5
105,Half Yeast,F,T,5
106,Half Yeast,F,T,5
107,No Yeast,F,T,5
108,No Yeast,F,T,5
109,Full Yeast,F,F,5
110,Full Yeast,F,F,5
111,Half Yeast,F,F,5
112,Half Yeast,F,F,5
113,No Yeast,F,F,5
114,No Yeast,F,F,5
115,Full Yeast,F,F,5
116,Full Yeast,F,F,5
117,Half Yeast,F,F,5
